strategy,relay_count,tree_length,timestep
search,3,270.471212918814,126
search,3,272.5161142170967,127
search,3,274.57853514057956,128
search,3,276.658764267758,129
search,3,278.7571742084861,130
search,3,280.8742233493282,131
search,2,283.0032433401138,132
search,2,285.1588187496632,133
search,2,287.3349121646523,134
search,2,289.53235328040165,135
search,2,291.75207653117997,136
search,2,293.9951269328709,137
search,2,296.2626665458832,138
search,2,298.5559815142679,139
search,2,300.8764896159926,140
search,2,303.22574823102013,141
search,4,305.6930520918151,142
search,3,308.0181676819616,143
search,3,310.4645111835065,144
search,3,312.9473978862701,145
search,3,315.46920507998,146
search,3,318.0324949581022,147
search,3,320.5784687938814,148
search,3,323.05405238822294,149
search,3,326.0999375763549,150
search,3,329.3402766694334,151
search,3,332.699218984074,152
search,3,336.1559933809381,153
search,3,339.7043837160953,154
search,3,343.34331195630375,155
search,3,347.07387404447167,156
search,3,350.898180151649,157
search,3,354.81881027927625,158
search,3,358.83851055230525,159
None (Stable),40,369.0076394439868,160
None (Stable),40,374.0323905431047,161
None (Stable),40,377.7755302626318,162
None (Stable),40,381.11025353367774,163
None (Stable),40,384.6061160742549,164
None (Stable),40,388.2577658482695,165
None (Stable),40,392.0591889329575,166
None (Stable),40,396.0039160720315,167
None (Stable),40,400.08521343028406,168
None (Stable),40,404.29624842121586,169
None (Stable),40,408.63022604065463,170
search,3,405.46151702283123,171
None (Stable),40,412.28789438308337,172
None (Stable),40,417.21262986557036,173
None (Stable),40,420.3782490847501,174
None (Stable),40,423.1446964739201,175
None (Stable),40,426.0233631402395,176
search,5,428.9545054838455,177
search,4,431.3174408456811,178
search,4,434.59402603929124,179
search,4,437.9290986868361,180
search,4,441.3166120647395,181
search,4,444.75125956164635,182
search,4,448.2283773044774,183
search,4,451.74385921502034,184
search,4,455.2940833259087,185
search,4,458.8758481015775,186
search,4,462.48631753265647,187
search,4,466.12297385329526,188
search,4,469.78357683968215,189
search,5,473.4819642882514,190
search,5,477.16919920363466,191
search,5,480.89045457602583,192
search,5,484.62884108578686,193
None (Stable),40,488.4643947320346,194
None (Stable),40,492.23067824073416,195
None (Stable),40,496.0121685772593,196
search,5,497.7409250597077,197
search,5,499.3857238419643,198
search,7,501.2630302285203,199
search,6,502.7949735187203,200
search,6,504.5774655255246,201
search,6,506.4120861921894,202
search,6,508.29834516979076,203
search,5,507.8731307563802,204
search,5,507.922623411264,205
search,5,508.02487995741905,206
search,5,508.1794788843444,207
search,5,508.38598213672947,208
search,5,508.64393528241135,209
search,5,508.95286843496933,210
search,5,509.31229787591286,211
search,5,509.7217283242905,212
search,5,510.18065580501195,213
search,5,510.6885710714252,214
search,5,511.2449635428585,215
search,5,511.8493257240375,216
search,5,512.5011580805959,217
search,5,513.1999743533804,218
search,7,514.0343570984112,219
search,7,514.8228793350355,220
search,6,515.5744445793194,221
search,6,516.4567795238971,222
search,6,517.3840847627075,223
search,6,518.3560902805518,224
search,5,519.3698680460517,225
search,5,520.4305184024962,226
search,5,521.535459363813,227
search,5,522.6847348273883,228
search,5,523.8784967562184,229
search,5,525.1170194760588,230
search,5,525.0876726693019,231
search,5,524.123560603773,232
search,5,523.204640123849,233
search,5,522.3498227861056,234
search,5,521.5600318037132,235
search,5,520.8364490906688,236
search,5,520.1805510342925,237
search,5,519.5941497514011,238
search,5,519.0794407468098,239
search,5,518.6390580015915,240
search,5,518.2761376132441,241
search,5,517.994391169625,242
search,5,517.5781713018454,243
search,5,516.2185849421995,244
search,5,514.8076072375984,245
search,5,513.4177279069088,246
search,4,512.0005709495241,247
search,4,510.65107901652163,248
search,4,509.32251157462724,249
search,4,508.0150235975069,250
search,4,506.7288894319756,251
search,4,505.4645234917186,252
None (Stable),40,536.3291305379803,253
None (Stable),40,535.0689525574777,254
None (Stable),40,534.1197675112081,255
None (Stable),40,533.4961505071082,256
None (Stable),40,533.1919634292659,257
search,4,496.72820094352284,258
None (Stable),40,528.455836917409,259
None (Stable),40,526.9123010871074,260
None (Stable),40,525.692246198187,261
None (Stable),40,522.7891981581832,262
None (Stable),40,519.1382947837116,263
search,4,480.42292664752426,264
None (Stable),40,512.2608305426933,265
None (Stable),40,510.0456961840676,266
None (Stable),40,510.48229268025773,267
None (Stable),40,510.98651383297465,268
None (Stable),40,511.23686892967703,269
None (Stable),40,511.6655093280068,270
None (Stable),40,512.1763142240691,271
None (Stable),40,512.7557044124322,272
None (Stable),40,513.3933765360806,273
None (Stable),40,514.0815106376187,274
None (Stable),40,514.8141938158898,275
None (Stable),40,515.5870033061684,276
None (Stable),40,516.3967065726566,277
None (Stable),40,517.2410479099383,278
None (Stable),40,518.1186002023125,279
None (Stable),40,519.0286673368038,280
None (Stable),40,519.9712279300898,281
None (Stable),40,520.9469150950108,282
None (Stable),40,521.9570304490386,283
None (Stable),40,523.003593925735,284
None (Stable),40,524.0894346845199,285
None (Stable),40,525.2183331259095,286
None (Stable),40,526.3952305329897,287
search,6,476.01425292195626,288
search,5,476.6458618863942,289
search,5,477.01682961621106,290
search,5,477.4058574489005,291
search,5,475.156840465001,292
search,5,473.3422561121499,293
search,5,471.5880193119355,294
None (Stable),40,472.9358259053198,295
search,5,468.2598274369519,296
None (Stable),40,474.6491376838023,297
None (Stable),40,474.0456448692976,298
search,5,463.672222712781,299
None (Stable),40,473.18283437823374,300
None (Stable),40,472.35428255779914,301
None (Stable),40,471.76176719389883,302
search,4,458.224856713738,303
None (Stable),40,466.5074926346418,304
