uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
5,14,TSP,,,,,,,49.7,207.72,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed14.png,success
5,15,OBLAP,25,27,26,34,35,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed15.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed15.png,success
5,15,TSP,,,,,,,46.5,202.67,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed15.png,success
6,1,OBLAP,25,29,28,40,41,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed1.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed1.png,success
6,1,TSP,,,,,,,41.4,209.7,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed1.png,success
6,2,OBLAP,25,29,30,42,43,3,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed2.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed2.png,success
6,2,TSP,,,,,,,43.4,210.82,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed2.png,success
6,3,OBLAP,25,27,26,38,39,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed3.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed3.png,success
6,3,TSP,,,,,,,46.4,215.64,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed3.png,success
6,4,OBLAP,25,28,27,39,40,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed4.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed4.png,success
6,4,TSP,,,,,,,42.4,207.69,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed4.png,success
6,5,OBLAP,23,23,22,34,35,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed5.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed5.png,success
6,5,TSP,,,,,,,46.4,214.95,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed5.png,success
6,6,OBLAP,15,15,14,23,24,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed6.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed6.png,success
6,6,TSP,,,,,,,41.7,211.57,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed6.png,success
6,7,OBLAP,25,29,32,42,43,4,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed7.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed7.png,success
6,7,TSP,,,,,,,38.5,201.84,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed7.png,success
6,8,OBLAP,25,25,24,36,37,3,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed8.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed8.png,success
6,8,TSP,,,,,,,42.4,206.7,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed8.png,success
6,9,OBLAP,22,22,21,30,31,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed9.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed9.png,success
6,9,TSP,,,,,,,41.4,209.6,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed9.png,success
6,10,OBLAP,25,29,32,41,42,4,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed10.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed10.png,success
6,10,TSP,,,,,,,44.4,214.3,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed10.png,success
6,11,OBLAP,25,29,31,41,42,4,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed11.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed11.png,success
6,11,TSP,,,,,,,46.4,208.52,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed11.png,success
6,12,OBLAP,25,29,28,38,39,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed12.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed12.png,success
6,12,TSP,,,,,,,39.0,203.95,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed12.png,success
6,13,OBLAP,25,29,28,35,36,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed13.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed13.png,success
6,13,TSP,,,,,,,44.4,227.16,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed13.png,success
6,14,OBLAP,21,21,20,31,32,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed14.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed14.png,success
6,14,TSP,,,,,,,41.4,209.63,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed14.png,success
6,15,OBLAP,23,23,22,33,34,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV6_Seed15.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed15.png,success
6,15,TSP,,,,,,,40.4,204.64,,batch_test_4to6_plots_20251228_175035\Comparison_UAV6_Seed15.png,success
