uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
10,6,OBLAP,16,16,15,24,25,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed6.png,success
10,6,TSP,,,,,,,36.8,248.45,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed6.png,success
10,7,OBLAP,20,20,19,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed7.png,success
10,7,TSP,,,,,,,30.9,239.76,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed7.png,success
10,8,OBLAP,20,20,19,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed8.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed8.png,success
10,8,TSP,,,,,,,36.3,243.65,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed8.png,success
10,9,OBLAP,22,22,21,32,33,4,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed9.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed9.png,success
10,9,TSP,,,,,,,30.2,234.4,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed9.png,success
10,10,OBLAP,21,21,20,31,32,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed10.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed10.png,success
10,10,TSP,,,,,,,32.4,245.25,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed10.png,success
10,11,OBLAP,24,24,23,33,34,5,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed11.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed11.png,success
10,11,TSP,,,,,,,28.8,228.54,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed11.png,success
10,12,OBLAP,23,23,22,32,33,3,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed12.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed12.png,success
10,12,TSP,,,,,,,30.3,234.95,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed12.png,success
10,13,OBLAP,21,21,20,28,29,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed13.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed13.png,success
10,13,TSP,,,,,,,34.9,251.91,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed13.png,success
10,14,OBLAP,14,14,13,26,27,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed14.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed14.png,success
10,14,TSP,,,,,,,29.4,233.85,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed14.png,success
10,15,OBLAP,22,22,21,30,31,4,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed15.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed15.png,success
10,15,TSP,,,,,,,30.1,231.76,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed15.png,success
11,1,OBLAP,15,15,14,26,27,3,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed1.png,success
11,1,TSP,,,,,,,27.5,228.95,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed1.png,success
11,2,OBLAP,19,19,18,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed2.png,success
11,2,TSP,,,,,,,33.1,260.53,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed2.png,success
11,3,OBLAP,20,20,19,30,31,3,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed3.png,success
11,3,TSP,,,,,,,29.4,237.87,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed3.png,success
11,4,OBLAP,21,21,20,32,33,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed4.png,success
11,4,TSP,,,,,,,35.9,259.73,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed4.png,success
11,5,OBLAP,23,23,22,32,33,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed5.png,success
11,5,TSP,,,,,,,29.0,247.09,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed5.png,success
11,6,OBLAP,15,15,14,25,26,3,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed6.png,success
11,6,TSP,,,,,,,29.2,250.95,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed6.png,success
11,7,OBLAP,24,24,23,31,32,5,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed7.png,success
11,7,TSP,,,,,,,30.0,249.93,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed7.png,success
11,8,OBLAP,16,16,15,26,27,2,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed8.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed8.png,success
11,8,TSP,,,,,,,32.9,255.33,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed8.png,success
11,9,OBLAP,22,22,21,31,32,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed9.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed9.png,success
11,9,TSP,,,,,,,30.8,249.51,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed9.png,success
11,10,OBLAP,21,21,20,31,32,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed10.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed10.png,success
11,10,TSP,,,,,,,27.2,240.34,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed10.png,success
11,11,OBLAP,24,24,23,32,33,5,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed11.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed11.png,success
11,11,TSP,,,,,,,27.3,244.91,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed11.png,success
11,12,OBLAP,21,21,20,29,30,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed12.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed12.png,success
11,12,TSP,,,,,,,25.7,234.36,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed12.png,success
11,13,OBLAP,21,21,20,29,30,4,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed13.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed13.png,success
11,13,TSP,,,,,,,34.9,269.66,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed13.png,success
11,14,OBLAP,14,14,13,26,27,2,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed14.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed14.png,success
11,14,TSP,,,,,,,26.6,242.95,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed14.png,success
11,15,OBLAP,20,20,19,29,30,3,,,batch_test_plots_20251228_192153\OBLAP_UAV11_Seed15.png,batch_test_plots_20251228_192153\Comparison_UAV11_Seed15.png,success
11,15,TSP,,,,,,,27.0,239.45,,batch_test_plots_20251228_192153\Comparison_UAV11_Seed15.png,success
12,1,OBLAP,15,15,14,24,25,2,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed1.png,success
12,1,TSP,,,,,,,30.2,260.54,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed1.png,success
12,2,OBLAP,19,19,18,29,30,4,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed2.png,success
12,2,TSP,,,,,,,30.8,271.75,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed2.png,success
12,3,OBLAP,20,20,19,29,30,3,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed3.png,success
12,3,TSP,,,,,,,31.4,264.82,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed3.png,success
12,4,OBLAP,20,20,19,29,30,4,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed4.png,success
12,4,TSP,,,,,,,29.2,262.0,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed4.png,success
12,5,OBLAP,23,23,22,30,31,6,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed5.png,success
12,5,TSP,,,,,,,26.8,253.89,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed5.png,success
12,6,OBLAP,15,15,14,22,23,2,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed6.png,success
12,6,TSP,,,,,,,29.5,262.23,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed6.png,success
12,7,OBLAP,24,24,23,31,32,6,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed7.png,success
12,7,TSP,,,,,,,28.9,255.88,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed7.png,success
12,8,OBLAP,17,17,16,26,27,2,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed8.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed8.png,success
12,8,TSP,,,,,,,27.9,256.74,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed8.png,success
12,9,OBLAP,22,22,21,31,32,4,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed9.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed9.png,success
12,9,TSP,,,,,,,25.9,249.66,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed9.png,success
12,10,OBLAP,21,21,20,31,32,5,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed10.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed10.png,success
12,10,TSP,,,,,,,30.1,265.58,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed10.png,success
12,11,OBLAP,24,24,23,32,33,5,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed11.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed11.png,success
12,11,TSP,,,,,,,29.4,260.54,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed11.png,success
12,12,OBLAP,20,20,19,28,29,4,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed12.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed12.png,success
12,12,TSP,,,,,,,29.2,258.87,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed12.png,success
12,13,OBLAP,21,21,20,29,30,6,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed13.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed13.png,success
12,13,TSP,,,,,,,33.0,284.65,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed13.png,success
12,14,OBLAP,17,17,16,27,28,2,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed14.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed14.png,success
12,14,TSP,,,,,,,26.8,254.29,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed14.png,success
12,15,OBLAP,20,20,19,28,29,4,,,batch_test_plots_20251228_192153\OBLAP_UAV12_Seed15.png,batch_test_plots_20251228_192153\Comparison_UAV12_Seed15.png,success
12,15,TSP,,,,,,,28.1,261.22,,batch_test_plots_20251228_192153\Comparison_UAV12_Seed15.png,success
13,1,OBLAP,15,15,14,24,25,2,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed1.png,success
13,1,TSP,,,,,,,25.4,263.52,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed1.png,success
13,2,OBLAP,19,19,18,27,28,2,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed2.png,success
13,2,TSP,,,,,,,31.9,288.12,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed2.png,success
13,3,OBLAP,20,20,19,29,30,4,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed3.png,success
13,3,TSP,,,,,,,31.9,282.95,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed3.png,success
13,4,OBLAP,21,21,20,29,30,3,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed4.png,success
13,4,TSP,,,,,,,30.2,273.2,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed4.png,success
13,5,OBLAP,23,23,22,30,31,4,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed5.png,success
13,5,TSP,,,,,,,25.0,248.68,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed5.png,success
13,6,OBLAP,15,15,14,25,26,2,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed6.png,success
13,6,TSP,,,,,,,25.8,246.07,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed6.png,success
13,7,OBLAP,24,24,23,31,32,5,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed7.png,success
13,7,TSP,,,,,,,26.9,266.05,,batch_test_plots_20251228_192153\Comparison_UAV13_Seed7.png,success
13,8,OBLAP,16,16,15,24,25,2,,,batch_test_plots_20251228_192153\OBLAP_UAV13_Seed8.png,batch_test_plots_20251228_192153\Comparison_UAV13_Seed8.png,success
