Strategy,Makespan,Total_Distance,Targets,Final_Positions,Paths,N,K
K-Means/Improved-GA-greedy-dynamic,67.60000000000043,203.63614660051437,"{(2.5, 6.5), (1.5, 4.5), (6.5, 7.5), (9.5, 3.5), (5.5, 6.5), (1.5, 0.5), (7.5, 5.5), (9.5, 2.5), (4.5, 1.5), (0.5, 4.5), (11.5, 1.5), (10.5, 11.5), (11.5, 10.5)}","[(4.5, 1.5), (7.5000000000000036, 5.5), (0.5, 4.499999999999998), (1.5, 4.499999999999998), (9.5, 3.5000000000000013), (10.5, 11.5), (11.49999999999999, 1.5), (1.5, 0.5), (11.5, 10.500000000000004), (5.5, 6.499999999999993), (9.499999999999993, 2.5), (6.4999999999999964, 7.5), (2.5, 6.4999999999999964)]","[[[(4.5, 1.5)]], [[(7.5000000000000036, 5.5), (7.5, 5.5)]], [[(0.5, 4.499999999999998), (0.5, 4.5)]], [[(1.5, 4.499999999999998), (1.5, 4.5)]], [[(9.5, 3.5000000000000013), (9.5, 3.5)]], [[(np.float64(10.739736887650068), np.float64(11.020526224699857)), (10.5, 11.5)]], [[(11.49999999999999, 1.5), (11.5, 1.5)]], [[(1.5, 0.5)]], [[(11.5, 10.500000000000004), (11.5, 10.5)]], [[(5.5, 6.499999999999993), (5.5, 6.5)]], [[(9.499999999999993, 2.5), (9.5, 2.5)]], [[(6.4999999999999964, 7.5), (6.5, 7.5)]], [[(2.5, 6.4999999999999964), (2.5, 6.5)]]]",12,13
K-Means/Improved-GA-phased-hungarian,29.800000000000153,250.4244085724697,"{(3.5, 7.5), (6.5, 2.5), (2.5, 0.5), (6.5, 4.5), (4.5, 2.5), (8.5, 8.5), (4.5, 4.5), (9.5, 2.5), (5.5, 2.5), (9.5, 11.5), (7.5, 4.5), (2.5, 4.5), (1.5, 8.5)}","[(7.5, 4.5), (np.float64(4.5), np.float64(4.5000000000000036)), (2.5, 4.5), (5.5, 2.5), (4.5, 2.5), (np.float64(9.500000000000007), np.float64(11.5)), (1.5, 8.5), (np.float64(9.5), np.float64(2.5)), (2.5, 0.5), (np.float64(6.5), np.float64(4.500000000000014)), (np.float64(6.5), np.float64(2.5)), (8.5, 8.5), (3.5, 7.5)]","[[[(np.float64(11.5), np.float64(3.6000000000000085)), (7.5, 4.5)]], [[(np.float64(4.5000000000000036), np.float64(5.5)), (4.5, 4.5)]], [[(np.float64(0.5), np.float64(4.5000000000000036)), (2.5, 4.5)]], [[(np.float64(4.5000000000000036), np.float64(8.5)), (5.5, 2.5)]], [[(np.float64(2.5), np.float64(3.5)), (4.5, 2.5)]], [[(np.float64(9.900000000000006), np.float64(11.5)), (9.5, 11.5)]], [[(np.float64(2.5), np.float64(8.5)), (1.5, 8.5)]], [[(np.float64(9.5), np.float64(2.5))]], [[(np.float64(1.5), np.float64(0.5)), (2.5, 0.5)]], [[(np.float64(6.5), np.float64(6.500000000000007)), (6.5, 4.5)]], [[(np.float64(6.5), np.float64(2.5))]], [[(np.float64(6.5), np.float64(9.500000000000004)), (8.5, 8.5)]], [[(np.float64(4.5000000000000036), np.float64(10.5)), (3.5, 7.5)]]]",12,13
K-Means/Improved-GA-greedy-dynamic,76.79999999999991,189.6283398990212,"{(2.5, 7.5), (4.5, 3.5), (4.5, 9.5), (3.5, 1.5), (5.5, 4.5), (0.5, 3.5), (5.5, 1.5), (10.5, 7.5), (8.5, 3.5), (4.5, 8.5), (10.5, 3.5), (8.5, 2.5), (5.5, 11.5), (0.5, 10.5)}","[(3.5, 1.5), (5.499999999999995, 11.5), (4.5000000000000036, 8.5), (2.5, 7.5), (8.5, 2.5), (5.5, 4.5), (0.5, 3.5), (5.4999999999999964, 1.5), (4.5, 9.5), (4.5, 3.5), (10.5, 3.5000000000000013), (8.499999999999996, 3.5), (0.5, 10.49999999999999), (np.float64(10.500000000000004), np.float64(7.5))]","[[[(3.5, 1.5)]], [[(5.499999999999995, 11.5), (5.5, 11.5)]], [[(4.5000000000000036, 8.5), (4.5, 8.5)]], [[(2.5, 7.5)]], [[(8.5, 2.5)]], [[(5.5, 4.5)]], [[(0.5, 3.5)]], [[(5.4999999999999964, 1.5), (5.5, 1.5)]], [[(4.5, 9.5)]], [[(4.5, 3.5)]], [[(10.5, 3.5000000000000013), (10.5, 3.5)]], [[(8.499999999999996, 3.5), (8.5, 3.5)]], [[(0.5, 10.49999999999999), (0.5, 10.5)]], [[(np.float64(10.900000000000002), np.float64(7.499999999999998)), (10.5, 7.5)]]]",12,14
K-Means/Improved-GA-phased-hungarian,32.40000000000019,272.2753910530392,"{(2.5, 7.5), (6.5, 4.5), (3.5, 6.5), (8.5, 9.5), (10.5, 0.5), (9.5, 9.5), (7.5, 2.5), (11.5, 11.5), (1.5, 6.5), (6.5, 9.5), (8.5, 5.5), (9.5, 1.5), (6.5, 8.5), (8.5, 4.5)}","[(8.5, 4.5), (9.5, 9.5), (1.5, 6.5), (np.float64(6.499999999999991), np.float64(8.5)), (6.5, 4.5), (11.5, 11.5), (2.5, 7.5), (np.float64(9.499999999999996), np.float64(1.5)), (3.5, 6.5), (8.5, 5.5), (np.float64(10.49999999999999), np.float64(0.5)), (8.5, 9.5), (6.5, 9.5), (7.5, 2.5)]","[[[(np.float64(10.500000000000004), np.float64(3.5)), (8.5, 4.5)]], [[(np.float64(4.5000000000000036), np.float64(5.5)), (9.5, 9.5)]], [[(np.float64(0.5), np.float64(4.5000000000000036)), (1.5, 6.5)]], [[(np.float64(3.5), np.float64(8.500000000000004)), (6.5, 8.5)]], [[(np.float64(2.5), np.float64(3.5)), (6.5, 4.5)]], [[(np.float64(9.5), np.float64(9.900000000000006)), (11.5, 11.5)]], [[(np.float64(0.5), np.float64(8.500000000000007)), (2.5, 7.5)]], [[(np.float64(8.5), np.float64(1.5)), (9.5, 1.5)]], [[(np.float64(1.5), np.float64(3.5)), (3.5, 6.5)]], [[(np.float64(7.5000000000000036), np.float64(5.5)), (8.5, 5.5)]], [[(np.float64(5.500000000000007), np.float64(0.5)), (10.5, 0.5)]], [[(np.float64(7.5000000000000036), np.float64(9.5)), (8.5, 9.5)]], [[(np.float64(3.5), np.float64(10.500000000000004)), (6.5, 9.5)]], [[(np.float64(6.500000000000007), np.float64(2.5)), (7.5, 2.5)]]]",12,14
K-Means/Improved-GA-greedy-dynamic,71.30000000000022,197.93138833328683,"{(11.5, 0.5), (3.5, 1.5), (7.5, 0.5), (7.5, 3.5), (8.5, 6.5), (7.5, 9.5), (5.5, 6.5), (1.5, 10.5), (5.5, 9.5), (0.5, 8.5), (7.5, 11.5), (2.5, 11.5), (5.5, 2.5), (7.5, 4.5), (1.5, 2.5)}","[(3.5, 1.5), (5.4999999999999964, 9.5), (0.5, 8.499999999999986), (1.5, 2.5), (7.4999999999999964, 3.5), (5.5, 6.5), (1.5, 10.5), (7.5, 0.5), (8.5, 6.5), (7.5, 9.499999999999996), (5.5, 2.5), (7.5, 4.5), (2.5, 11.5), (11.5, 0.5), (7.500000000000014, 11.5)]","[[[(3.5, 1.5)]], [[(5.4999999999999964, 9.5), (5.5, 9.5)]], [[(0.5, 8.499999999999986), (0.5, 8.5)]], [[(1.5, 2.5)]], [[(7.4999999999999964, 3.5), (7.5, 3.5)]], [[(5.5, 6.5)]], [[(1.5, 10.5)]], [[(7.5, 0.5)]], [[(np.float64(8.060147337007944), np.float64(6.202802254735097)), (8.5, 6.5)]], [[(7.5, 9.499999999999996), (7.5, 9.5)]], [[(5.5, 2.5)]], [[(7.5, 4.5)]], [[(2.5, 11.5)]], [[(11.5, 0.5)]], [[(7.500000000000014, 11.5), (7.5, 11.5)]]]",12,15
K-Means/Improved-GA-phased-hungarian,24.100000000000072,254.32315670654685,"{(6.5, 11.5), (3.5, 1.5), (8.5, 0.5), (9.5, 0.5), (10.5, 10.5), (4.5, 11.5), (5.5, 3.5), (1.5, 0.5), (1.5, 6.5), (7.5, 11.5), (1.5, 3.5), (10.5, 2.5), (11.5, 1.5), (1.5, 2.5), (7.5, 7.5)}","[(10.5, 2.5), (5.5, 3.5), (1.5, 3.5), (6.5, 11.5), (1.5, 2.5), (np.float64(10.500000000000004), np.float64(10.499999999999996)), (1.5, 6.5), (11.5, 1.5), (1.5, 0.5), (7.5, 7.5), (np.float64(3.500000000000012), np.float64(1.5)), (7.5, 11.5), (4.5, 11.5), (8.5, 0.5), (9.5, 0.5)]","[[[(np.float64(10.900000000000002), np.float64(5.499999999999998)), (10.5, 2.5)]], [[(np.float64(4.5), np.float64(5.5000000000000036)), (5.5, 3.5)]], [[(np.float64(0.5), np.float64(5.5)), (1.5, 3.5)]], [[(np.float64(4.5000000000000036), np.float64(8.5)), (6.5, 11.5)]], [[(np.float64(2.5), np.float64(3.5)), (1.5, 2.5)]], [[(np.float64(11.489949493661168), np.float64(9.510050506338832)), (10.5, 10.5)]], [[(np.float64(0.7828427124746189), np.float64(11.217157287525382)), (1.5, 6.5)]], [[(np.float64(10.900000000000002), np.float64(2.5)), (11.5, 1.5)]], [[(np.float64(0.5), np.float64(2.5)), (1.5, 0.5)]], [[(np.float64(8.217157287525382), np.float64(8.217157287525371)), (7.5, 7.5)]], [[(np.float64(4.500000000000011), np.float64(1.5)), (3.5, 1.5)]], [[(np.float64(8.00502525316941), np.float64(11.005025253169418)), (7.5, 11.5)]], [[(np.float64(3.5000000000000013), np.float64(10.700000000000003)), (4.5, 11.5)]], [[(np.float64(7.5000000000000036), np.float64(2.5)), (8.5, 0.5)]], [[(np.float64(10.199999999999998), np.float64(8.499999999999996)), (9.5, 0.5)]]]",12,15
K-Means/Improved-GA-greedy-dynamic,162.39999999999506,172.0009927348067,"{(3.5, 6.5), (7.5, 0.5), (2.5, 1.5)}","[(np.float64(3.5), np.float64(6.4999999999999964)), (2.5, 1.5), (7.4999999999999964, 0.5)]","[[[(np.float64(3.5), np.float64(6.099999999999998)), (3.5, 6.5)]], [[(2.5, 1.5)]], [[(7.4999999999999964, 0.5), (7.5, 0.5)]]]",16,3
K-Means/Improved-GA-phased-hungarian,69.20000000000034,175.3429990412137,"{(3.5, 6.5), (7.5, 0.5), (2.5, 1.5)}","[(2.5, 1.5), (np.float64(3.5), np.float64(6.5000000000000036)), (7.5, 0.5)]","[[[(np.float64(10.000000000000005), np.float64(15.5)), (2.5, 1.5)]], [[(np.float64(3.500000000000001), np.float64(6.900000000000002)), (3.5, 6.5)]], [[(np.float64(14.999999999999998), np.float64(2.5)), (7.5, 0.5)]]]",16,3
K-Means/Improved-GA-greedy-dynamic,38.60000000000028,51.44790233018167,"{(1.5, 0.5), (2.5, 2.5), (6.5, 6.5), (6.5, 3.5)}","[(2.5, 2.5), (np.float64(6.4999999999999964), np.float64(6.5)), (1.5, 0.5), (6.499999999999993, 3.5)]","[[[(2.5, 2.5)]], [[(np.float64(6.099999999999998), np.float64(6.499999999999998)), (6.5, 6.5)]], [[(1.5, 0.5)]], [[(6.499999999999993, 3.5), (6.5, 3.5)]]]",16,4
K-Means/Improved-GA-phased-hungarian,69.70000000000032,257.8186607164731,"{(1.5, 0.5), (2.5, 2.5), (6.5, 6.5), (6.5, 3.5)}","[(6.5, 6.5), (1.5, 0.5), (6.5, 3.5), (2.5, 2.5)]","[[[(np.float64(10.5), np.float64(14.099999999999987)), (6.5, 6.5)]], [[(np.float64(6.099999999999994), np.float64(3.5)), (1.5, 0.5)]], [[(np.float64(15.499999999999996), np.float64(5.000000000000002)), (6.5, 3.5)]], [[(np.float64(3.0000000000000004), np.float64(8.5)), (2.5, 2.5)]]]",16,4
K-Means/Improved-GA-greedy-dynamic,154.7999999999955,292.9607833089086,"{(11.5, 1.5), (3.5, 6.5), (15.5, 6.5), (13.5, 3.5), (0.5, 1.5)}","[(15.5, 6.500000000000021), (11.5, 1.5), (13.499999999999993, 3.5), (0.5, 1.5), (3.5, 6.5000000000000036)]","[[[(15.5, 6.500000000000021), (15.5, 6.5)]], [[(np.float64(11.500000000000004), np.float64(1.0999999999999999)), (11.5, 1.5)]], [[(13.499999999999993, 3.5), (13.5, 3.5)]], [[(0.5, 1.5)]], [[(3.5, 6.5000000000000036), (3.5, 6.5)]]]",16,5
K-Means/Improved-GA-phased-hungarian,57.00000000000054,253.9843367215068,"{(11.5, 9.5), (1.5, 14.5), (0.5, 2.5), (13.5, 7.5), (13.5, 12.5)}","[(13.5, 12.5), (np.float64(0.5000000000000018), np.float64(2.500000000000003)), (13.5, 7.5), (np.float64(1.5), np.float64(14.499999999999993)), (11.5, 9.5)]","[[[(np.float64(13.065685424949237), np.float64(12.06568542494924)), (13.5, 12.5)]], [[(np.float64(2.1000000000000005), np.float64(5.5)), (0.5, 2.5)]], [[(np.float64(13.599999999999993), np.float64(7.5)), (13.5, 7.5)]], [[(np.float64(1.5), np.float64(13.499999999999996)), (1.5, 14.5)]], [[(np.float64(9.899999999999999), np.float64(4.499999999999998)), (11.5, 9.5)]]]",16,5
K-Means/Improved-GA-greedy-dynamic,80.69999999999969,246.22542085537634,"{(15.5, 13.5), (7.5, 12.5), (3.5, 12.5), (10.5, 8.5), (5.5, 8.5), (14.5, 8.5)}","[(5.5, 8.5), (np.float64(7.5000000000000036), np.float64(12.5)), (14.5, 8.5), (3.5, 12.5), (15.5, 13.5), (10.5, 8.499999999999996)]","[[[(5.5, 8.5)]], [[(np.float64(7.900000000000002), np.float64(12.499999999999996)), (7.5, 12.5)]], [[(14.5, 8.5)]], [[(3.5, 12.5)]], [[(15.5, 13.5)]], [[(10.5, 8.499999999999996), (10.5, 8.5)]]]",16,6
K-Means/Improved-GA-phased-hungarian,53.70000000000049,270.36938448107196,"{(4.5, 3.5), (4.5, 9.5), (13.5, 11.5), (4.5, 12.5), (11.5, 9.5), (6.5, 7.5)}","[(13.5, 11.5), (4.5, 9.5), (6.5, 7.5), (np.float64(4.499999999999999), np.float64(12.5)), (11.5, 9.5), (4.5, 3.5)]","[[[(np.float64(11.136396103067892), np.float64(13.863603896932105)), (13.5, 11.5)]], [[(np.float64(3.7000000000000015), np.float64(9.499999999999998)), (4.5, 9.5)]], [[(np.float64(14.5), np.float64(2.1000000000000005)), (6.5, 7.5)]], [[(np.float64(3.3000000000000007), np.float64(12.5)), (4.5, 12.5)]], [[(np.float64(11.934314575050767), np.float64(9.065685424949237)), (11.5, 9.5)]], [[(np.float64(8.5), np.float64(0.9999999999999997)), (4.5, 3.5)]]]",16,6
K-Means/Improved-GA-greedy-dynamic,196.49999999999312,301.81446684436406,"{(10.5, 4.5), (0.5, 3.5), (13.5, 14.5), (8.5, 6.5), (2.5, 5.5), (0.5, 1.5), (11.5, 7.5)}","[(11.500000000000007, 7.5), (0.5, 1.5), (8.5, 6.500000000000007), (0.5, 3.5), (10.5, 4.5000000000000036), (np.float64(13.500000000000004), np.float64(14.5)), (2.5, 5.5)]","[[[(11.500000000000007, 7.5), (11.5, 7.5)]], [[(0.5, 1.5)]], [[(8.5, 6.500000000000007), (8.5, 6.5)]], [[(0.5, 3.5)]], [[(10.5, 4.5000000000000036), (10.5, 4.5)]], [[(np.float64(13.900000000000002), np.float64(14.5)), (13.5, 14.5)]], [[(2.5, 5.5)]]]",16,7
K-Means/Improved-GA-phased-hungarian,48.300000000000416,277.89568319652216,"{(8.5, 1.5), (2.5, 0.5), (4.5, 12.5), (6.5, 13.5), (3.5, 9.5), (12.5, 2.5), (8.5, 8.5)}","[(np.float64(6.500000000000032), np.float64(13.5)), (3.5, 9.5), (12.5, 2.5), (np.float64(4.500000000000004), np.float64(12.50000000000001)), (2.5, 0.5), (8.5, 1.5), (8.5, 8.5)]","[[[(np.float64(15.5), np.float64(13.499999999999996)), (6.5, 13.5)]], [[(np.float64(1.6950155281000758), np.float64(8.097507764050036)), (3.5, 9.5)]], [[(np.float64(15.5), np.float64(4.0)), (12.5, 2.5)]], [[(np.float64(5.499999999999998), np.float64(14.900000000000002)), (4.5, 12.5)]], [[(np.float64(12.599999999999996), np.float64(5.5)), (2.5, 0.5)]], [[(np.float64(8.5), np.float64(1.9999999999999996)), (8.5, 1.5)]], [[(np.float64(10.5), np.float64(10.7)), (8.5, 8.5)]]]",16,7
K-Means/Improved-GA-greedy-dynamic,147.3999999999959,286.7443189114996,"{(7.5, 0.5), (8.5, 0.5), (5.5, 13.5), (13.5, 10.5), (5.5, 0.5), (1.5, 0.5), (9.5, 11.5), (6.5, 8.5)}","[(8.5, 0.5), (9.499999999999996, 11.5), (1.5, 0.5), (5.5000000000000036, 13.5), (7.4999999999999964, 0.5), (6.4999999999999964, 8.5), (5.499999999999995, 0.5), (np.float64(13.5), np.float64(10.499999999999996))]","[[[(8.5, 0.5)]], [[(9.499999999999996, 11.5), (9.5, 11.5)]], [[(1.5, 0.5)]], [[(5.5000000000000036, 13.5), (5.5, 13.5)]], [[(7.4999999999999964, 0.5), (7.5, 0.5)]], [[(6.4999999999999964, 8.5), (6.5, 8.5)]], [[(5.499999999999995, 0.5), (5.5, 0.5)]], [[(np.float64(13.499999999999996), np.float64(10.099999999999998)), (13.5, 10.5)]]]",16,8
K-Means/Improved-GA-phased-hungarian,55.60000000000052,359.0655857577596,"{(11.5, 0.5), (15.5, 4.5), (7.5, 0.5), (14.5, 0.5), (6.5, 13.5), (11.5, 8.5), (6.5, 3.5), (10.5, 5.5)}","[(11.5, 8.5), (np.float64(7.499999999999989), np.float64(0.5)), (11.5, 0.5), (np.float64(6.5), np.float64(13.500000000000004)), (15.5, 4.5), (10.5, 5.5), (14.5, 0.5), (6.5, 3.5)]","[[[(np.float64(14.499999999999996), np.float64(14.5)), (11.5, 8.5)]], [[(np.float64(1.5), np.float64(0.5)), (7.5, 0.5)]], [[(np.float64(7.5), np.float64(3.5000000000000013)), (11.5, 0.5)]], [[(np.float64(6.500000000000002), np.float64(13.900000000000002)), (6.5, 13.5)]], [[(np.float64(14.500000000000004), np.float64(8.5)), (15.5, 4.5)]], [[(np.float64(8.499999999999996), np.float64(11.5)), (10.5, 5.5)]], [[(np.float64(14.500000000000004), np.float64(3.5)), (14.5, 0.5)]], [[(np.float64(0.5999999999999998), np.float64(14.5)), (6.5, 3.5)]]]",16,8
K-Means/Improved-GA-greedy-dynamic,119.39999999999749,284.940458694853,"{(15.5, 14.5), (9.5, 4.5), (0.5, 8.5), (0.5, 14.5), (10.5, 8.5), (0.5, 4.5), (14.5, 11.5), (0.5, 7.5), (10.5, 11.5)}","[(10.49999999999999, 8.5), (0.5, 4.5), (14.499999999999996, 11.5), (0.5, 8.500000000000007), (10.5, 11.499999999999996), (9.5, 4.5), (np.float64(15.5), np.float64(14.500000000000004)), (0.5, 7.5), (0.5, 14.49999999999999)]","[[[(10.49999999999999, 8.5), (10.5, 8.5)]], [[(0.5, 4.5)]], [[(14.499999999999996, 11.5), (14.5, 11.5)]], [[(0.5, 8.500000000000007), (0.5, 8.5)]], [[(10.5, 11.499999999999996), (10.5, 11.5)]], [[(9.5, 4.5)]], [[(np.float64(15.499999999999996), np.float64(14.900000000000002)), (15.5, 14.5)]], [[(0.5, 7.5)]], [[(0.5, 14.49999999999999), (0.5, 14.5)]]]",16,9
K-Means/Improved-GA-phased-hungarian,45.400000000000375,350.0991976755068,"{(0.5, 0.5), (14.5, 7.5), (7.5, 6.5), (3.5, 0.5), (5.5, 9.5), (15.5, 12.5), (3.5, 5.5), (14.5, 14.5), (10.5, 1.5)}","[(14.5, 14.5), (3.5, 5.5), (3.5, 0.5), (15.5, 12.5), (14.5, 7.5), (7.5, 6.5), (10.5, 1.5), (5.5, 9.5), (0.5, 0.5)]","[[[(np.float64(14.02052622469986), np.float64(14.260263112349932)), (14.5, 14.5)]], [[(np.float64(2.5), np.float64(8.5)), (3.5, 5.5)]], [[(np.float64(7.200000000000005), np.float64(4.5)), (3.5, 0.5)]], [[(np.float64(8.700000000000003), np.float64(15.499999999999998)), (15.5, 12.5)]], [[(np.float64(14.6), np.float64(9.5)), (14.5, 7.5)]], [[(np.float64(6.399999999999997), np.float64(8.500000000000002)), (7.5, 6.5)]], [[(np.float64(15.5), np.float64(4.499999999999998)), (10.5, 1.5)]], [[(np.float64(2.6), np.float64(15.5)), (5.5, 9.5)]], [[(np.float64(1.5), np.float64(0.5)), (0.5, 0.5)]]]",16,9
K-Means/Improved-GA-greedy-dynamic,132.89999999999674,313.24907347884607,"{(13.5, 8.5), (10.5, 14.5), (8.5, 10.5), (10.5, 7.5), (5.5, 7.5), (9.5, 0.5), (14.5, 3.5), (12.5, 5.5), (0.5, 8.5), (4.5, 10.5)}","[(8.5, 10.499999999999996), (np.float64(13.500000000000004), np.float64(8.5)), (14.5, 3.5000000000000013), (4.5, 10.500000000000004), (10.5, 7.4999999999999964), (10.5, 14.500000000000004), (9.5, 0.5), (np.float64(0.5), np.float64(8.499999999999986)), (12.500000000000007, 5.5), (5.5, 7.5)]","[[[(8.5, 10.499999999999996), (8.5, 10.5)]], [[(np.float64(13.900000000000002), np.float64(8.500000000000004)), (13.5, 8.5)]], [[(14.5, 3.5000000000000013), (14.5, 3.5)]], [[(4.5, 10.500000000000004), (4.5, 10.5)]], [[(10.5, 7.4999999999999964), (10.5, 7.5)]], [[(10.5, 14.500000000000004), (10.5, 14.5)]], [[(9.5, 0.5)]], [[(np.float64(0.5), np.float64(8.499999999999986)), (0.5, 8.5)]], [[(12.500000000000007, 5.5), (12.5, 5.5)]], [[(5.5, 7.5)]]]",16,10
K-Means/Improved-GA-phased-hungarian,41.00000000000031,335.8240604634231,"{(10.5, 4.5), (7.5, 13.5), (13.5, 14.5), (11.5, 6.5), (10.5, 3.5), (3.5, 12.5), (3.5, 8.5), (1.5, 8.5), (9.5, 1.5), (15.5, 1.5)}","[(13.5, 14.5), (np.float64(3.5000000000000013), np.float64(8.5)), (10.5, 3.5), (3.5, 12.5), (np.float64(11.5), np.float64(6.500000000000007)), (10.5, 4.5), (15.5, 1.5), (np.float64(1.5), np.float64(8.500000000000004)), (9.5, 1.5), (np.float64(7.500000000000007), np.float64(13.5))]","[[[(np.float64(15.499999999999996), np.float64(12.5)), (13.5, 14.5)]], [[(np.float64(3.5000000000000013), np.float64(8.5)), (3.5, 8.5)]], [[(np.float64(9.500000000000004), np.float64(4.899999999999999)), (10.5, 3.5)]], [[(np.float64(0.5), np.float64(15.4)), (3.5, 12.5)]], [[(np.float64(11.500000000000004), np.float64(8.899999999999999)), (11.5, 6.5)]], [[(np.float64(6.5000000000000036), np.float64(7.799999999999999)), (10.5, 4.5)]], [[(np.float64(14.19999999999999), np.float64(4.5)), (15.5, 1.5)]], [[(np.float64(1.5), np.float64(9.5)), (1.5, 8.5)]], [[(np.float64(1.5), np.float64(0.5)), (9.5, 1.5)]], [[(np.float64(7.900000000000006), np.float64(13.5)), (7.5, 13.5)]]]",16,10
K-Means/Improved-GA-greedy-dynamic,88.49999999999925,258.9950969111546,"{(12.5, 10.5), (6.5, 1.5), (12.5, 6.5), (6.5, 4.5), (3.5, 6.5), (7.5, 2.5), (2.5, 2.5), (7.5, 11.5), (7.5, 14.5), (1.5, 12.5), (5.5, 5.5)}","[(2.5, 2.5), (6.5, 4.499999999999998), (6.4999999999999964, 1.5), (7.5, 11.5), (7.4999999999999964, 2.5), (5.5, 5.5), (12.5, 6.5), (1.5, 12.5), (12.5, 10.499999999999993), (3.5, 6.4999999999999964), (np.float64(7.5000000000000036), np.float64(14.5))]","[[[(2.5, 2.5)]], [[(6.5, 4.499999999999998), (6.5, 4.5)]], [[(6.4999999999999964, 1.5), (6.5, 1.5)]], [[(7.5, 11.5)]], [[(7.4999999999999964, 2.5), (7.5, 2.5)]], [[(5.5, 5.5)]], [[(12.5, 6.5)]], [[(1.5, 12.5)]], [[(12.5, 10.499999999999993), (12.5, 10.5)]], [[(3.5, 6.4999999999999964), (3.5, 6.5)]], [[(np.float64(7.900000000000002), np.float64(14.499999999999996)), (7.5, 14.5)]]]",16,11
K-Means/Improved-GA-phased-hungarian,35.40000000000023,328.892272749537,"{(2.5, 7.5), (9.5, 7.5), (6.5, 4.5), (7.5, 9.5), (10.5, 10.5), (4.5, 8.5), (14.5, 12.5), (2.5, 14.5), (10.5, 8.5), (9.5, 11.5), (8.5, 14.5)}","[(14.5, 12.5), (9.5, 11.5), (np.float64(9.5), np.float64(7.499999999999989)), (2.5, 14.5), (10.5, 10.5), (np.float64(7.4999999999999964), np.float64(9.5)), (10.5, 8.5), (4.5, 8.5), (np.float64(6.499999999999991), np.float64(4.5)), (np.float64(8.5), np.float64(14.499999999999996)), (2.5, 7.5)]","[[[(np.float64(15.199999999999998), np.float64(11.5)), (14.5, 12.5)]], [[(np.float64(9.207106781186537), np.float64(6.792893218813457)), (9.5, 11.5)]], [[(np.float64(9.500000000000004), np.float64(4.799999999999999)), (9.5, 7.5)]], [[(np.float64(2.7), np.float64(13.500000000000004)), (2.5, 14.5)]], [[(np.float64(12.5), np.float64(6.5)), (10.5, 10.5)]], [[(np.float64(7.299999999999997), np.float64(9.500000000000002)), (7.5, 9.5)]], [[(np.float64(11.963343685400044), np.float64(2.573312629199899)), (10.5, 8.5)]], [[(np.float64(2.5), np.float64(10.699999999999996)), (4.5, 8.5)]], [[(np.float64(3.5), np.float64(4.5)), (6.5, 4.5)]], [[(np.float64(8.500000000000004), np.float64(14.099999999999998)), (8.5, 14.5)]], [[(np.float64(0.5), np.float64(7.5000000000000036)), (2.5, 7.5)]]]",16,11
K-Means/Improved-GA-greedy-dynamic,139.79999999999634,302.04258032756087,"{(12.5, 0.5), (1.5, 1.5), (7.5, 9.5), (13.5, 4.5), (8.5, 9.5), (9.5, 3.5), (14.5, 9.5), (3.5, 11.5), (11.5, 5.5), (7.5, 14.5), (10.5, 15.5), (1.5, 2.5)}","[(1.5, 1.5), (7.5, 9.499999999999996), (12.500000000000004, 0.5), (8.5, 9.5), (11.5, 5.5), (3.5, 11.499999999999993), (13.5, 4.5), (14.5, 9.500000000000007), (np.float64(10.500000000000004), np.float64(15.5)), (1.5, 2.5), (7.5, 14.499999999999993), (9.49999999999999, 3.5)]","[[[(1.5, 1.5)]], [[(7.5, 9.499999999999996), (7.5, 9.5)]], [[(12.500000000000004, 0.5), (12.5, 0.5)]], [[(8.5, 9.5)]], [[(11.5, 5.5)]], [[(3.5, 11.499999999999993), (3.5, 11.5)]], [[(13.5, 4.5)]], [[(14.5, 9.500000000000007), (14.5, 9.5)]], [[(np.float64(10.900000000000002), np.float64(15.499999999999996)), (10.5, 15.5)]], [[(1.5, 2.5)]], [[(7.5, 14.499999999999993), (7.5, 14.5)]], [[(9.49999999999999, 3.5), (9.5, 3.5)]]]",16,12
