N,K,Strategy,Makespan,Total_Distance,Sample
8,6,greedy-dynamic,4.100000000000001,85.59525251024345,1
8,6,phased-hungarian,2.500000000000001,98.09559499266142,1
8,6,v4.2-adaptive,1.9000000000000006,100.8881070030159,1
8,6,greedy-dynamic,4.300000000000001,83.67097184514444,2
8,6,phased-hungarian,2.3000000000000007,92.6117643192291,2
8,6,v4.2-adaptive,1.8000000000000005,89.8722748212531,2
8,6,greedy-dynamic,3.1000000000000014,80.66758687390362,3
8,6,phased-hungarian,2.2000000000000006,96.30852544299599,3
8,6,v4.2-adaptive,3.5000000000000018,123.19387768090267,3
8,6,greedy-dynamic,1.9000000000000006,65.87954811203184,4
8,6,phased-hungarian,2.3000000000000007,103.40165723339075,4
8,6,v4.2-adaptive,2.0000000000000004,101.57735532499433,4
8,6,greedy-dynamic,1.9000000000000006,67.423355279943,5
8,6,phased-hungarian,1.8000000000000005,83.51156119800386,5
8,6,v4.2-adaptive,2.1000000000000005,97.14258996282238,5
8,6,greedy-dynamic,4.200000000000001,81.28304047188533,6
8,6,phased-hungarian,1.8000000000000005,82.46033348041271,6
8,6,v4.2-adaptive,2.2000000000000006,107.57968108930422,6
8,6,greedy-dynamic,3.700000000000002,70.87205871614333,7
8,6,phased-hungarian,2.3000000000000007,96.93904214503179,7
8,6,v4.2-adaptive,1.9000000000000006,102.52737369597979,7
8,6,greedy-dynamic,2.400000000000001,64.90688099690313,8
8,6,phased-hungarian,1.7000000000000004,81.46679043929814,8
8,6,v4.2-adaptive,3.2000000000000015,132.3261351557392,8
8,6,greedy-dynamic,3.3000000000000016,92.63536307378924,9
8,6,phased-hungarian,1.7000000000000004,88.60519160960959,9
8,6,v4.2-adaptive,2.700000000000001,117.58839096450838,9
8,7,greedy-dynamic,2.1000000000000005,60.92011289847613,0
8,7,phased-hungarian,2.400000000000001,103.83446107407921,0
8,7,v4.2-adaptive,1.8000000000000005,101.18049981540386,0
8,7,greedy-dynamic,1.4000000000000001,61.65252124022525,1
8,7,phased-hungarian,3.0000000000000013,121.0140129553909,1
8,7,v4.2-adaptive,1.5000000000000002,94.23245141465706,1
8,7,greedy-dynamic,2.1000000000000005,72.43182515590087,2
8,7,phased-hungarian,2.2000000000000006,102.71833410451384,2
8,7,v4.2-adaptive,1.8000000000000005,92.72524626487052,2
8,7,greedy-dynamic,1.7000000000000004,58.99360074429744,3
8,7,phased-hungarian,2.9000000000000012,115.82687301200949,3
8,7,v4.2-adaptive,2.9000000000000012,121.96132512933657,3
8,7,greedy-dynamic,3.600000000000002,78.68363673288185,4
8,7,phased-hungarian,1.5000000000000002,79.9299559629971,4
8,7,v4.2-adaptive,3.900000000000002,128.3670804867387,4
8,7,greedy-dynamic,3.600000000000002,75.2881107123061,5
8,7,phased-hungarian,1.9000000000000006,91.80380148289738,5
8,7,v4.2-adaptive,1.7000000000000004,88.6057112033689,5
8,7,greedy-dynamic,1.4000000000000001,49.070853677495556,6
8,7,phased-hungarian,2.0000000000000004,91.66400053937429,6
8,7,v4.2-adaptive,2.2000000000000006,122.74776505771405,6
8,7,greedy-dynamic,3.5000000000000018,80.45694848071619,7
8,7,phased-hungarian,2.2000000000000006,91.40566372524862,7
8,7,v4.2-adaptive,2.0000000000000004,113.49876177586283,7
8,7,greedy-dynamic,2.600000000000001,74.41977539415353,8
8,7,phased-hungarian,1.8000000000000005,93.65321760360986,8
8,7,v4.2-adaptive,3.2000000000000015,124.51793462823849,8
8,7,greedy-dynamic,2.2000000000000006,83.96716779929281,9
8,7,phased-hungarian,3.4000000000000017,116.74375211870876,9
